スリークォーターバックス	three|quarter|backs	TH_R_IY1|K_W_AO1_R_T_ER0|B_AE1_K_S
リトラクト	retract	R_IY0_T_R_AE1_K_T
アサインメント	assignment	AH0_S_AY1_N_M_AH0_N_T
クックー	cuckoo	K_AH1_K_UW2
コンセプト	concept	K_AA1_N_S_EH0_P_T
キャビア	caviar	K_AE1_V_IY0_AA2_R
インシネレター	incinerator	IH2_N_S_IH1_N_ER0_EY2_T_ER0
スキーム	scheme	S_K_IY1_M
ラブチェアー	love|chair	L_AH1_V|CH_EH1_R
セルフチェッキング	self|checking	S_EH1_L_F|CH_EH1_K_IH0_NG
デュエット	duet	D_UW0_EH1_T
ラミー	rummy	R_AH1_M_IY0
プライムレート	prime|rate	P_R_AY1_M|R_EY1_T
サランラップ	saran|wrap	S_ER0_AE1_N|R_AE1_P
シャットアウト	shutout	SH_AH1_T_AW2_T
ファミリーネーム	family|name	F_AE1_M_AH0_L_IY0|N_EY1_M
ターレットトラック	turret|truck	T_ER1_AH0_T|T_R_AH1_K
ガンボ	gumbo	G_AH1_M_B_OW0
コーヒーショップ	coffee|shop	K_AA1_F_IY0|SH_AA1_P
スプライト	sprite	S_P_R_AY1_T
グリーンレボリューション	green|revolution	G_R_IY1_N|R_EH2_V_AH0_L_UW1_SH_AH0_N
グラフイック	graphic	G_R_AE1_F_IH0_K
シリアライズ	serialize	S_IH1_R_IY2_AH0_L_AY2_Z
コンテナバッグ	container|bag	K_AH0_N_T_EY1_N_ER0|B_AE1_G
ホットライン	hot|line	HH_AA1_T|L_AY1_N
モノクロームディスプレイ	monochrome|display	M_AA1_N_AH0_K_R_OW2_M|D_IH0_S_P_L_EY1
セファルディム	sephardim	S_IH0_F_AA1_R_D_IH0_M
モレキュラー	molecular	M_AH0_L_EH1_K_Y_AH0_L_ER0
アンドゥトロワ	un|deux|trois	AH1_N|D_UW1|T_W_AA1
ポリティカリーコレクト	politically|correct	P_AH0_L_IH1_T_IH0_K_AH0_L_IY0|K_ER0_EH1_K_T
ジョブメニュー	job|menu	JH_AA1_B|M_EH1_N_Y_UW0
ブルーデージー	blue|daisy	B_L_UW1|D_EY1_Z_IY0
ダカーポ	da|capo	D_AA1|K_AA1_P_OW0
パッセンジャー	passenger	P_AE1_S_AH0_N_JH_ER0
セットポイント	set|point	S_EH1_T|P_OY1_N_T
ガニメデ	ganymede	G_AE1_N_AH0_M_IY2_D
シティガイド	city|guide	S_IH1_T_IY0|G_AY1_D
ワンステップ	one|step	W_AH1_N|S_T_EH1_P
イングリッシュグリップ	english|grip	IH1_NG_G_L_IH0_SH|G_R_IH1_P
アウトサイダー	outsider	AW0_T_S_AY1_D_ER0
マネーフロー	money|flow	M_AH1_N_IY0|F_L_OW1
ラフスケッチ	rough|sketch	R_AH1_F|S_K_EH1_CH
ポリッジ	porridge	P_AO1_R_AH0_JH
コンポーザー	composer	K_AH0_M_P_OW1_Z_ER0
メディカルエレクトロニクス	medical|electronics	M_EH1_D_AH0_K_AH0_L|IH2_L_EH2_K_T_R_AA1_N_IH0_K_S
ビュアー	viewer	V_Y_UW1_ER0
フリーラジカル	free|radical	F_R_IY1|R_AE1_D_IH0_K_AH0_L
レイキ	reiki	R_EY1_K_IY0
ダラクマ	drachma	D_R_AE1_K_M_AH0
レーション	ration	R_AE1_SH_AH0_N
ローカルキャリア	local|carrier	L_OW1_K_AH0_L|K_AE1_R_IY0_ER0
タンデムスプリント	tandem|sprint	T_AE1_N_D_AH0_M|S_P_R_IH1_N_T
メッセージボード	message|board	M_EH1_S_AH0_JH|B_AO1_R_D
スキマー	skimmer	S_K_IH1_M_ER0
カーボンブラック	carbon|black	K_AA1_R_B_AH0_N|B_L_AE1_K
ファインプレー	fine|play	F_AY1_N|P_L_EY1
メジャーレーベル	major|label	M_EY1_JH_ER0|L_EY1_B_AH0_L
スタグネーション	stagnation	S_T_AE0_G_N_EY1_SH_AH0_N
オウンドメディア	owned|media	OW1_N_D|M_IY1_D_IY0_AH0
ローカルバスビデオ	local|bus|video	L_OW1_K_AH0_L|B_AH1_S|V_IH1_D_IY0_OW0
アイスクリーム	ice|cream	AY1_S|K_R_IY1_M
サーベイランス	surveillance	S_ER0_V_EY1_L_AH0_N_S
エクスパイア	expire	IH0_K_S_P_AY1_R
レズビアン	lesbian	L_EH1_Z_B_IY0_AH0_N
アデノイド	adenoid	AE1_D_AH0_N_OY2_D
クラフトパルプ	kraft|pulp	K_R_AE1_F_T|P_AH1_L_P
フォーマッティング	formatting	F_AO1_R_M_AE2_T_IH0_NG
スターターキット	starter|kit	S_T_AA1_R_T_ER0|K_IH1_T
マイクロバス	micro|bus	M_AY1_K_R_OW2|B_AH1_S
デンチャー	denture	D_EH1_N_CH_ER0
ディープラーニング	deep|learning	D_IY1_P|L_ER1_N_IH0_NG
フェアリーランド	fairyland	F_EH1_R_IY0_L_AE2_N_D
コンベクションオーブン	convection|oven	K_AH0_N_V_EH1_K_SH_AH0_N|AH1_V_AH0_N
タイガーシャーク	tiger|shark	T_AY1_G_ER0|SH_AA1_R_K
サミング	thumbing	TH_AH1_M_IH0_NG
ジストロフィー	dystrophy	D_IH1_S_T_R_AH0_F_IY0
エキササイズウォーキング	exercise|walking	EH1_K_S_ER0_S_AY2_Z|W_AO1_K_IH0_NG
ベルト	belt	B_EH1_L_T
ディスクドライブ	disk|drive	D_IH1_S_K|D_R_AY1_V
アッパー	upper	AH1_P_ER0
ドレスダウン	dress|down	D_R_EH1_S|D_AW1_N
レンジフード	range|hood	R_EY1_N_JH|HH_UH1_D
パフォーマンス	performance	P_ER0_F_AO1_R_M_AH0_N_S
カーラー	curler	K_ER1_L_ER0
パワーエリート	power|elite	P_AW1_ER0|IH0_L_IY1_T
パーカッション	percussion	P_ER0_K_AH1_SH_AH0_N
イベント	event	IH0_V_EH1_N_T
スマートコントラクト	smart|contract	S_M_AA1_R_T|K_AA1_N_T_R_AE2_K_T
モラルマジョリティー	moral|majority	M_AO1_R_AH0_L|M_AH0_JH_AO1_R_AH0_T_IY0
ベースメモリ	base|memory	B_EY1_S|M_EH1_M_ER0_IY0
ワンボックスカー	one|box|car	W_AH1_N|B_AA1_K_S|K_AA1_R
ワッシャ	washer	W_AA1_SH_ER0
アグレゲイション	aggregation	AE2_G_R_AH0_G_EY1_SH_AH0_N
メディテーション	meditation	M_EH2_D_AH0_T_EY1_SH_AH0_N
バイイングパワー	buying|power	B_AY1_IH0_NG|P_AW1_ER0
シャンパングラス	champagne|glass	SH_AE0_M_P_EY1_N|G_L_AE1_S
ストック	stock	S_T_AA1_K
スポーツバッグ	sports|bag	S_P_AO1_R_T_S|B_AE1_G
ホワイトメタル	white|metal	W_AY1_T|M_EH1_T_AH0_L
クンニリングス	cunnilingus	K_AH2_N_AH0_L_IH1_NG_G_AH0_S
ブルータン	blue|tang	B_L_UW1|T_AE1_NG
アグリビジネス	agribusiness	AE1_G_R_AH0_B_IH2_Z_N_AH0_S
クロスカントリースキー	cross|country|ski	K_R_AO1_S|K_AH1_N_T_R_IY0|S_K_IY1
ニュースマガジン	newsmagazine	N_UW1_Z_M_AE2_G_AH0_Z_IY2_N
ファンカー	fan|car	F_AE1_N|K_AA1_R
ナショナルアド	national|ad	N_AE1_SH_AH0_N_AH0_L|AE1_D
ライトグリーン	light|green	L_AY1_T|G_R_IY1_N
セル	cell	S_EH1_L
ハッカソン	hackathon	HH_AE1_K_AH0_TH_AO2_N
リゾット	risotto	R_IY2_S_AO1_T_OW2
アンテナ	antenna	AE0_N_T_EH1_N_AH0
ミッドセンチュリー	mid|century	M_IH1_D|S_EH1_N_CH_ER0_IY0
ハンガーディスプレイ	hanger|display	HH_AE1_NG_ER0|D_IH0_S_P_L_EY2
ロジウム	rhodium	R_OW1_D_IY0_AH0_M
アクセスコントロール	access|control	AE1_K_S_EH2_S|K_AH0_N_T_R_OW1_L
ノーウェイト	no|wait	N_OW1|W_EY1_T
ビヤガーデン	beer|garden	B_IH1_R|G_AA1_R_D_AH0_N
ビフォーアフター	before|after	B_IH0_F_AO1_R|AE1_F_T_ER0
スパイクヒール	spike|heel	S_P_AY1_K|HH_IY1_L
アパッシュ	apache	AH0_P_AE1_CH_IY0
ブリーチング	bleaching	B_L_IY1_CH_IH0_NG
ポケットバイク	pocket|bike	P_AA1_K_AH0_T|B_AY1_K
アダプテーションレイヤ	adaptation|layer	AE2_D_AH0_P_T_EY1_SH_AH0_N|L_EY1_ER0
モンタージュ	montage	M_AA0_N_T_AA1_ZH
デジタルビデオカメラ	digital|video|camera	D_IH1_JH_AH0_T_AH0_L|V_IH1_D_IY0_OW0|K_AE1_M_ER0_AH0
キャンセル	cancel	K_AE1_N_S_AH0_L
バルーン	balloon	B_AH0_L_UW1_N
ケットル	kettle	K_EH1_T_AH0_L
ビーフステーキ	beefsteak	B_IY1_F_S_T_EY2_K
ルートビア	root|beer	R_UW1_T|B_IH1_R
サロンカー	salon|car	S_AH0_L_AA1_N|K_AA1_R
ショートドリンク	short|drink	SH_AO1_R_T|D_R_IH1_NG_K
ボーナスステージ	bonus|stage	B_OW1_N_AH0_S|S_T_EY1_JH
リスポンシブウェブデザイン	responsive|web|design	R_IH0_S_P_AA1_N_S_IH0_V|W_EH1_B|D_IH0_Z_AY1_N
モーニングショー	morning|show	M_AO1_R_N_IH0_NG|SH_OW1
フェードイン	fade|in	F_EY1_D|IH0_N
メイリング	mailing	M_EY1_L_IH0_NG
キーテクノロジー	key|technology	K_IY1|T_EH0_K_N_AA1_L_AH0_JH_IY0
ナショナルチーム	national|team	N_AE1_SH_AH0_N_AH0_L|T_IY1_M
タリバン	taliban	T_AE1_L_IH0_B_AE2_N
ボーイハント	boy|hunt	B_OY1|HH_AH1_N_T
ジャストミート	just|meet	JH_AH1_S_T|M_IY1_T
ラブソング	love|song	L_AH1_V|S_AO1_NG
コードセット	code|set	K_OW1_D|S_EH1_T
ジンファンデル	zinfandel	Z_IH1_N_F_AH0_N_D_EH2_L
カレントトピックス	current|topics	K_ER1_AH0_N_T|T_AA1_P_IH0_K_S
レヤーケーキ	layer|cake	L_EY1_ER0|K_EY1_K
タビー	tabby	T_AE1_B_IY0
ホームユーザ	home|user	HH_OW1_M|Y_UW1_Z_ER0
ショップ	shop	SH_AA1_P
バケットハット	bucket|hat	B_AH1_K_IH0_T|HH_AE1_T
オントロギー	ontology	AA0_N_T_AA1_L_AH0_JH_IY0
プレステージ	prestige	P_R_EH0_S_T_IY1_ZH
プラニング	planning	P_L_AE1_N_IH0_NG
オーバーレイネットワーク	overlay|network	OW1_V_ER0_L_EY2|N_EH1_T_W_ER2_K
リアエンジン	rear|engine	R_IH1_R|EH1_N_JH_AH0_N
インダクションコイル	induction|coil	IH2_N_D_AH1_K_SH_AH0_N|K_OY1_L
データリンクレベル	data|link|level	D_EY1_T_AH0|L_IH1_NG_K|L_EH1_V_AH0_L
スウィートホーム	sweet|home	S_W_IY1_T|HH_OW1_M
アクリルセメント	acryl|cement	AE1_K_R_AH0_L|S_AH0_M_EH1_N_T
コンパルソリー	compulsory	K_AH0_M_P_AH1_L_S_ER0_IY0
シングルステップ	single|step	S_IH1_NG_G_AH0_L|S_T_EH1_P
エメリーボード	emery|board	EH1_M_ER0_IY0|B_AO1_R_D
ショートサーキット	short|circuit	SH_AO1_R_T|S_ER1_K_AH0_T
パブリックフォルダ	public|folder	P_AH1_B_L_IH0_K|F_OW1_L_D_ER0
システムボード	system|board	S_IH1_S_T_AH0_M|B_AO1_R_D
ソフトウェアエンジニア	software|engineer	S_AO1_F_T_W_EH2_R|EH1_N_JH_AH0_N_IH1_R
アンカバー	uncover	AH0_N_K_AH1_V_ER0
コンフュージョン	confusion	K_AH0_N_F_Y_UW1_ZH_AH0_N
ユニバーサルジョイント	universal|joint	Y_UW2_N_AH0_V_ER1_S_AH0_L|JH_OY1_N_T
ディレクティブ	directive	D_ER0_EH1_K_T_IH0_V
アイムソーリー	i'm|sorry	AY1_M|S_AA1_R_IY0
ラビリンス	labyrinth	L_AE1_B_ER0_IH2_N_TH
フライキャスチング	fly|casting	F_L_AY1|K_AE1_S_T_IH0_NG
テープヒス	tape|hiss	T_EY1_P|HH_IH1_S
ビッグブルー	big|blue	B_IH1_G|B_L_UW1
テニスラケット	tennis|racket	T_EH1_N_AH0_S|R_AE1_K_IH0_T
ゴールデンルール	golden|rule	G_OW1_L_D_AH0_N|R_UW1_L
アクシデント	accident	AE1_K_S_AH0_D_AH0_N_T
パルメザン	parmesan	P_AA1_R_M_AH0_Z_AA2_N
グル	guru	G_UW1_R_UW2
ジャパンバッシング	japan|bashing	JH_AH0_P_AE1_N|B_AE1_SH_IH0_NG
ホームマシン	home|machine	HH_OW1_M|M_AH0_SH_IY1_N
アパーチャー	aperture	AE1_P_ER0_CH_ER0
ダマスカス	damascus	D_AH0_M_AE1_S_K_AH0_S
ニッカーズ	knickers	N_IH1_K_ER0_Z
エッグパスタ	egg|pasta	EH1_G|P_AA1_S_T_AH0
フライドオニオン	fried|onion	F_R_AY1_D|AH1_N_Y_AH0_N
パフアダー	puff|adder	P_AH1_F|AE1_D_ER0
キューバンヒール	cuban|heel	K_Y_UW1_B_AH0_N|HH_IY1_L
テクノ	techno	T_EH1_K_N_OW0
アナバプティスト	anabaptist	AE2_N_AH0_B_AE1_P_T_AH0_S_T
アダルトコンテンツ	adult|contents	AH0_D_AH1_L_T|K_AA1_N_T_EH0_N_T_S
ソフトタッチ	soft|touch	S_AA1_F_T|T_AH1_CH
プルームテクトニクス	plume|tectonics	P_L_UW1_M|T_EH0_K_T_AA1_N_IH0_K_S
マドモアゼル	mademoiselle	M_AE2_D_AH0_M_AH0_Z_EH1_L
アーティキュレーテッドシャフト	articulated|shaft	AA0_R_T_IH1_K_Y_AH0_L_EY2_T_IH0_D|SH_AE1_F_T
ナイスショット	nice|shot	N_AY1_S|SH_AA1_T
トラヒックバースト	traffic|burst	T_R_AE1_F_IH0_K|B_ER1_S_T
ハズバンドハント	husband|hunt	HH_AH1_Z_B_AH0_N_D|HH_AH1_N_T
リプレッション	repression	R_IY0_P_R_EH1_SH_AH0_N
ピラフ	pilaf	P_IY2_L_AA1_F
スライディングタックル	sliding|tackle	S_L_AY1_D_IH0_NG|T_AE1_K_AH0_L
オーガズム	orgasm	AO1_R_G_AE0_Z_AH0_M
フリートレード	free|trade	F_R_IY1|T_R_EY1_D
メールサーベイ	mail|survey	M_EY1_L|S_ER0_V_EY1
ブロイラー	broiler	B_R_OY1_L_ER0
フラッグフットボール	flag|football	F_L_AE1_G|F_UH1_T_B_AO2_L
マキアヴェリスト	machiavellist	M_AA2_K_IY0_AH0_V_EH1_L_IY0_S_T
アフィリエートマーケティング	affiliate|marketing	AH0_F_IH1_L_IY0_EY2_T|M_AA1_R_K_AH0_T_IH0_NG
ダブルドリブル	double|dribble	D_AH1_B_AH0_L|D_R_IH1_B_AH0_L
ホームアドレス	home|address	HH_OW1_M|AE1_D_R_EH2_S
ブリージング	breathing	B_R_IY1_DH_IH0_NG
ミルクシャーク	milk|shark	M_IH1_L_K|SH_AA1_R_K
アパタイト	appetite	AE1_P_AH0_T_AY2_T
キラーパルス	killer|pulse	K_IH1_L_ER0|P_AH1_L_S
キノア	quinoa	K_IY2_N_OW1_AH0
ジオポリティックス	geopolitics	JH_IY2_OW0_P_AA1_L_AH0_T_IH0_K_S
スイッチングテーブル	switching|table	S_W_IH1_CH_IH0_NG|T_EY1_B_AH0_L
セカンドソース	second|source	S_EH1_K_AH0_N_D|S_AO1_R_S
アクションリサーチ	action|research	AE1_K_SH_AH0_N|R_IY0_S_ER1_CH
シティーホール	city|hall	S_IH1_T_IY0|HH_AO1_L
バングラデシュ	bangladesh	B_AE1_NG_L_AH0_D_EH2_SH
ビデオソフト	video|soft	V_IH1_D_IY0_OW0|S_AO1_F_T
タップ	tap	T_AE1_P
レアシュガー	rare|sugar	R_EH1_R|SH_UH1_G_ER0
デフォルト	default	D_IH0_F_AO1_L_T
ターンオーバー	turnover	T_ER1_N_OW2_V_ER0
リニアモーターカー	linear|motor|car	L_IH1_N_IY0_ER0|M_OW1_T_ER0|K_AA1_R
デスポティズム	despotism	D_EH1_S_P_AH0_T_IH2_Z_AH0_M
グラバーハンド	grabber|hand	G_R_AE1_B_ER0|HH_AE1_N_D
シンナー	thinner	TH_IH1_N_ER0
ポークチェック	poke|check	P_OW1_K|CH_EH1_K
ホーズ	hose	HH_OW1_Z
ファインケミカル	fine|chemical	F_AY1_N|K_EH1_M_IH0_K_AH0_L
オーバーヒート	overheat	OW1_V_ER0_HH_IY2_T
マイルドインフレーション	mild|inflation	M_AY1_L_D|IH2_N_F_L_EY1_SH_AH0_N
クロストレーニング	cross|training	K_R_AO1_S|T_R_EY1_N_IH0_NG
ハンドセット	handset	HH_AE1_N_D_S_EH2_T
コンベンショナル	conventional	K_AH0_N_V_EH1_N_SH_AH0_N_AH0_L
エリキシル	elixir	IH0_L_IH1_K_S_ER0
アーンドラン	earned|run	ER1_N_D|R_AH1_N
アンツーカ	en|tout|cas	EH1_N|T_AW1_T|K_AE1_S
サンプルセリングシステム	sample|selling|system	S_AE1_M_P_AH0_L|S_EH1_L_IH0_NG|S_IH1_S_T_AH0_M
カッサータ	cassata	K_AA0_S_AA1_T_AH0
ブライダルマーケット	bridal|market	B_R_AY1_D_AH0_L|M_AA1_R_K_AH0_T
タブー	taboo	T_AE0_B_UW1
コンピュータグラフィクスインタフェース	computer|graphics|interface	K_AH0_M_P_Y_UW1_T_ER0|G_R_AE1_F_IH0_K_S|IH1_N_T_ER0_F_EY2_S
プロモーション	promotion	P_R_AH0_M_OW1_SH_AH0_N
イエス	yes	Y_EH1_S
ルーチング	routing	R_AW1_T_IH0_NG
ストーカー	stalker	S_T_AO1_K_ER0
インプレメント	implement	IH1_M_P_L_AH0_M_AH0_N_T
マクロプロジェクト	macro|project	M_AE1_K_R_OW0|P_R_AA1_JH_EH0_K_T
アールドム	earldom	ER1_L_D_AH0_M
ディスチャージ	discharge	D_IH0_S_CH_AA1_R_JH
ハドロン	hadron	HH_AE1_D_R_AO2_N
ウイングカラー	wing|collar	W_IH1_NG|K_AA1_L_ER0
バージンソイル	virgin|soil	V_ER1_JH_IH0_N|S_OY1_L
クリーチャー	creature	K_R_IY1_CH_ER0
マニピュレータ	manipulator	M_AH0_N_IH1_P_Y_AH0_L_EY2_T_ER0
ストーンサークル	stone|circle	S_T_OW1_N|S_ER1_K_AH0_L
ビーフ	beef	B_IY1_F
ホッグ	hog	HH_AA1_G
ナビゲーター	navigator	N_AE1_V_AH0_G_EY2_T_ER0
ノンバーバルコミュニケーション	non-verbal|communication	N_AA0_N_V_ER1_B_AH0_L|K_AH0_M_Y_UW2_N_AH0_K_EY1_SH_AH0_N
モーターボート	motorboat	M_OW1_T_ER0_B_OW2_T
ハイパワードマネー	high-powered|money	HH_AY2_P_AW1_ER0_D|M_AH1_N_IY0
サミット	summit	S_AH1_M_AH0_T
リロケート	relocate	R_IY2_L_OW1_K_EY0_T
コンジェスチョンチャージ	congestion|charge	K_AH0_N_JH_EH1_S_CH_AH0_N|CH_AA1_R_JH
トゥルータイプフォント	true|type|font	T_R_UW1|T_AY1_P|F_AA1_N_T
バブル	bubble	B_AH1_B_AH0_L
アソートメント	assortment	AH0_S_AO1_R_T_M_AH0_N_T
フォーン	phone	F_OW1_N
メカニカルマウス	mechanical|mouse	M_AH0_K_AE1_N_IH0_K_AH0_L|M_AW1_S
プライマリサイト	primary|site	P_R_AY1_M_EH2_R_IY0|S_AY1_T
サブセット	subset	S_AH1_B_S_EH2_T
フィルムスピード	film|speed	F_IH1_L_M|S_P_IY1_D
エキストラホール	extra|hole	EH1_K_S_T_R_AH0|HH_OW1_L
アトム	atom	AE1_T_AH0_M
ポータブル	portable	P_AO1_R_T_AH0_B_AH0_L
パゴダ	pagoda	P_AH0_G_OW1_D_AH0
イージーケア	easy|care	IY1_Z_IY0|K_EH1_R
ライス	rice	R_AY1_S
フライング	flying	F_L_AY1_IH0_NG
エアフィルター	air|filter	EH1_R|F_IH1_L_T_ER0
ドッグファイト	dogfight	D_AA1_G_F_AY2_T
ゴールド	gold	G_OW1_L_D
コンテンツライブラリ	contents|library	K_AA1_N_T_EH0_N_T_S|L_AY1_B_R_EH0_R_IY2
アイアンサイト	iron|sight	AY1_ER0_N|S_AY1_T
ディコンストラクション	deconstruction	D_IY0_K_AH0_N_S_T_R_AH1_K_SH_AH0_N
プラッシュ	plush	P_L_AH1_SH
ギグ	gig	G_IH1_G
ラジオニュース	radio|news	R_EY1_D_IY0_OW2|N_UW1_Z
サード	third	TH_ER1_D
ケアサービス	care|service	K_EH1_R|S_ER1_V_AH0_S
カップル	couple	K_AH1_P_AH0_L
ディグリー	degree	D_IH0_G_R_IY1
フェミニスト	feminist	F_EH1_M_AH0_N_IH0_S_T
スタンドレスリング	stand|wrestling	S_T_AE1_N_D|R_EH1_S_L_IH0_NG
リクライニングシート	reclining|seat	R_IH0_K_L_AY1_N_IH0_NG|S_IY1_T
ツアーコンダクター	tour|conductor	T_UH1_R|K_AH0_N_D_AH1_K_T_ER0
ツー	two	T_UW1
スイートスポット	sweet|spot	S_W_IY1_T|S_P_AA1_T
アンビバレンツ	ambivalent	AE0_M_B_IH1_V_AH0_L_AH0_N_T
コフィン	coffin	K_AO1_F_IH0_N
ケミカルパルプ	chemical|pulp	K_EH1_M_IH0_K_AH0_L|P_AH1_L_P
フォアシステムズ	fore|systems	F_AO1_R|S_IH1_S_T_AH0_M_Z
ビス	vis	V_IH1_S
クローズドユニオン	closed|union	K_L_OW1_Z_D|Y_UW1_N_Y_AH0_N
ストロマ	stroma	S_T_R_OW1_M_AH0
キディ	kiddie	K_IH1_D_IY0
インドクトリネーション	indoctrination	IH2_N_D_AA2_K_T_R_AH0_N_EY1_SH_AH0_N
フリージャズ	free|jazz	F_R_IY1|JH_AE1_Z
バージン	virgin	V_ER1_JH_IH0_N
アイメイト	eye|mate	AY1|M_EY1_T
コニャック	cognac	K_OW1_N_Y_AE2_K
バロメーター	barometer	B_ER0_AA1_M_IH0_T_ER0
テレコムマレーシア	telecom|malaysia	T_EH1_L_AH0_K_AA0_M|M_AH0_L_EY1_ZH_AH0
スキップ	skip	S_K_IH1_P
ドメスティックブランド	domestic|brand	D_AH0_M_EH1_S_T_IH0_K|B_R_AE1_N_D
バングル	bangle	B_AE1_NG_G_AH0_L
ソテー	saute	S_AO0_T_EY1
ハードボイルド	hard|boiled	HH_AA1_R_D|B_OY1_L_D
