SUTANDINGU	STANDING
TAIPURAITA	TYPEWRITER
KORUCHISHIN	COLCHICINE
PURINSHIPURU	PRINCIPLE
KURASHIKKU	CLASSIC
SANUA	SANAA
MATERIARU	MATERIAL
AKUTIBU	ACTIVE
TANKU	TANK
AUTORETTO	OUTLET
RATOVIA	LATVIA
ROMANI	ROMANI
PUROMO	PROMO
HAIEROGURIFU	HIEROGLYPH
TOSU	TOSS
MINIMARISUTO	MINIMALIST
MAKKUSUWERU	MAXWELL
KURASUTARINGU	CLUSTERING
SABURE	SABLE
TORIMA	TRIMMER
SENTARINGU	CENTERING
HAMUSUTORINGU	HAMSTRING
PASUTORAMI	PASTRAMI
VAIRASU	VIRUS
BUNDO	BUND
PURETTSUXERU	PRETZEL
DAU	DOW
PUROJEKUTO	PROJECT
IMITEISHON	IMITATION
EMARUSHON	EMULSION
BURUDOGGU	BULLDOG
RUSAKA	LUSAKA
KUSHETTO	COUCHETTE
ATENDO	ATTEND
IDORA	IDOLA
ASUPIRIN	ASPIRIN
GATTO	GUT
SUKONKU	SKUNK
FURAI	FRY
ARUBAMU	ALBUM
BAI	BY
PAISON	PYTHON
ATORASU	ATLAS
FAKKIN	FUCKING
GURAGU	GULAG
PORUCHIKO	PORTICO
DORAGGUSUTOA	DRUGSTORE
DORUFIN	DOLPHIN
BUROMU	BROM
BIHIKURU	VEHICLE
KYANTI	CHIANTI
DEPUROI	DEPLOY
FOTOSHINSESHISU	PHOTOSYNTHESIS
VIJIRANSU	VIGILANCE
POKETTO	POCKET
BUFFE	BUFFET
BAITARU	VITAL
DETACCHI	DETACH
BARERU	BARREL
BOIRU	BOIL
SUKARASHIPPU	SCHOLARSHIP
PARANOIA	PARANOIA
BISUMASU	BISMUTH
AKAUNTABIRITI	ACCOUNTABILITY
YUURU	YULE
ENTATEIMENTSU	ENTERTAINMENTS
MAGUNETORON	MAGNETRON
FURAPPU	FLAP
RIGA	RIGA
TORANJITTO	TRANSIT
AI	EYE
DIVERUTIMENTO	DIVERTIMENTO
ADOBENTO	ADVENT
TORASSHU	TRASH
KURATON	CRATON
CHERESUTA	CELESTA
PIKUNIKKU	PICNIC
PUREFIKUSU	PREFIX
BOMU	BOMB
CHAFU	CHAFF
TEREKYASUTO	TELECAST
RAJIKARU	RADICAL
SERENIUMU	SELENIUM
MIERIN	MYELIN
GURORIA	GLORIA
PAKISUTAN	PAKISTAN
SANFISSHU	SUNFISH
BEIONITTO	BAYONET
TON'NERU	TUNNEL
IYAFON	EARPHONE
INPUREMENTO	IMPLEMENT
KONBEKKUSU	CONVEX
MOMENTO	MOMENT
ERIKISHIRU	ELIXIR
AKAPURUKO	ACAPULCO
WEITO	WEIGHT
MAIN	MINE
NEOPORISU	NEOPOLIS
ENZERUFISSHU	ANGELFISH
NONSUTOPPU	NONSTOP
MAKISHI	MAXI
AIBURAU	EYEBROW
AIBI	IVY
KAUNSERINGU	COUNSELING
JANETTO	JANET
BATOKA	VODKA
AKUSESU	ACCESS
PUREMIA	PREMIER
RETACCHI	RETOUCH
RIMITEDDO	LIMITED
SAFARI	SAFARI
KINTARU	QUINTAL
BATTERI	BATTERY
PAKETTO	PACKET
HANUKA	HANUKKAH
KURISUCHAN	CHRISTIAN
AMYURETTO	AMULET
BATON	BATON
GUROGGU	GROG
BAISU	VISE
MEDOKKU	MEDOC
FUJIRRI	FUSILLI
PUROTOTAIPU	PROTOTYPE
TIKETTO	TICKET
SUTANZA	STANZA
MAROU	MALLOW
TORAKUTO	TRACT
DIJESUCHIFU	DIGESTIVE
PARIJEN'NU	PARISIENNE
ERISUROPOECHIN	ERYTHROPOIETIN
SHIATORIKARU	THEATRICAL
CHEIN	CHAIN
SEMIKONDAKUTA	SEMICONDUCTOR
RADISSHU	RADISH
EKISUPURESSHON	EXPRESSION
BARETTO	BALLETTO
FURASSHURAITO	FLASHLIGHT
KOMANDO	COMMAND
AIRON	IRON
JIRENMA	DILEMMA
HASSHU	HASH
SUN'NI	SUNNI
BUREDDO	BREAD
DIPUROMA	DIPLOMA
SHINKURONIKKU	SYNCHRONIC
AUSUTO	OUST
DEPO	DEPOT
MARE	MALE
HARIBATTO	HALIBUT
MANEKIN	MANNEQUIN
KUROZETTO	CLOSET
KONBO	COMBO
KATAROGU	CATALOG
FINISSHU	FINISH
PURONPUTO	PROMPT
ORIJINARU	ORIGINAL
DOGGU	DOG
MAUNCHINGU	MOUNTING
KICHIN	KITCHEN
RA	LA
MAZOHISUTO	MASOCHIST
VARUNERABIRITI	VULNERABILITY
BAUNDO	BOUNCE
ROKOMOTIBU	LOCOMOTIVE
FUREKUSHIBIRITI	FLEXIBILITY
SARAMANDERU	SALAMANDER
UINBURUDON	WIMBLEDON
RAINMEN	LINEMEN
BOBU	BOB
DIRENMA	DILEMMA
ASUNSHION	ASUNCION
SAKUSOFON	SAXOPHONE
RIPABURIKKU	REPUBLIC
INTERIJENSU	INTELLIGENCE
RADDO	RUDD
SUPACHURA	SPATULA
BAIRATERARU	BILATERAL
HANGU	HANG
KURINRINESU	CLEANLINESS
RANJI	LUNGE
PURINSU	PRINCE
ESUPURESSO	ESPRESSO
KYARAWEI	CARAWAY
SEKUSHON	SECTION
EBIDENSU	EVIDENCE
ROSUTORU	ROOSTER
KORONIARU	COLONIAL
BORISHEBIZUMU	BOLSHEVISM
HAIWEI	HIGHWAY
JIFIRISU	SYPHILIS
INSENTIBU	INCENTIVE
VURUSUTO	WURST
GAIDANSU	GUIDANCE
BURIRIANTO	BRILLIANT
HARON	HALON
ROSU	LOSS
GURANDO	GRAND
BUKURESHUTI	BUCHAREST
NAISU	NICE
INDEKISU	INDEX
ARUKUTOXURUSU	ARCTURUS
BEISHIKKU	BASIC
ADOBANSUDO	ADVANCED
PUREZUXIDENTO	PRESIDENT
BISHOPPU	BISHOP
SUTORIPPU	STRIP
INDEKUSA	INDEXER
ATACCHIMENTO	ATTACHMENT
ANOREKUSHIA	ANOREXIA
KURANCHI	CRUNCHY
HIASHINSU	HYACINTH
APURETTO	APPLET
BISUTA	VISTA
SUWERU	SWELL
SEMINA	SEMINAR
RYAMA	LLAMA
RIRISHIZUMU	LYRICISM
KAYAKKU	KAYAK
RESHIPI	RECIPE
WESUTA	VESTA
AKONPURISSHI	ACCOMPLISH
BAKKUSU	BACKS
RAKKIXI	LUCKY
HAIPATEKISUTO	HYPERTEXT
BIJUARAIZU	VISUALIZE
ASHUARIDDORI	ASSUREDLY
PIGGUSUKIN	PIGSKIN
TEKUNOROJIZU	TECHNOLOGIES
RERIKKU	RELIC
KIROBITTO	KILOBIT
BURASSHU	BRUSH
FEA	FAIR
TERESON	TELETHON
PURODAKUTIBU	PRODUCTIVE
HANSAMU	HANDSOME
AIBEKKUSU	IBEX
BURUNEI	BRUNEI
TORUKUMENISUTAN	TURKMENISTAN
KYABENDISSHU	CAVENDISH
SADORU	SADDLE
ORUGANIZUMU	ORGANISM
FORUTE	FORTE
SENTO	CENT
NAITOMEA	NIGHTMARE
JIGITARISU	DIGITALIS
MEDARION	MEDALLION
WEPON	WEAPON
KIWI	KIWI
HOWAITOFISSHU	WHITEFISH
BARONETTO	BARONET
INTARESUTINGU	INTERESTING
RATAN	RATTAN
SHEIKU	SHEIKH
JABU	JAB
APASSHU	APACHE
KEMIKARU	CHEMICAL
KAUBERU	COWBELL
DEKADANSU	DECADENCE
KUROROFIRU	CHLOROPHYLL
MEGAROMANIA	MEGALOMANIA
FURUBAKKU	FULLBACK
JERANDO	GERUND
AWEA	AWARE
MERANIN	MELANIN
KINGU	KING
EROTISHIZUMU	EROTICISM
MERUDO	MELD
TAIGON	TIGON
AKUEINTANSU	ACQUAINTANCE
BAIOSU	BIOS
EROCHIKA	EROTICA
MEZON	MAISON
BINIRU	VINYL
RANAI	LANAI
HATTO	HAT
ABOGADO	AVOCADO
SAIREN	SIREN
RAMU	RAM
PIRIODIKKU	PERIODIC
MONYUMENTO	MONUMENT
NAN	NAN
MERURO	MERLOT
TEKUSUTAIRU	TEXTILE
TIRAMISU	TIRAMISU
BEIZU	BAYES
BANAJIN	VANADIUM
RIBON	RIBBON
HADARU	HADAR
PURODAKUTO	PRODUCT
ARERUYA	HALLELUJAH
PURAIZU	PRIZE
JEIDO	JADE
APORON	APOLLON
VAIORINISUTO	VIOLINIST
UEPON	WEAPON
BAKKU	BAG
ENEMA	ENEMA
SHINKUPADDO	THINKPAD
PARUPU	PULP
AKKUSU	AXE
DIN	DIN
FAUNA	FAUNA
MEIDO	MAID
ARUTIMETTO	ULTIMATE
ANPASANDO	AMPERSAND
GURAJIORASU	GLADIOLUS
BOTOMUSU	BOTTOMS
CHAI	CHAI
PATOA	PATOIS
KONTAKUTO	CONTACT
SHIONISUTO	ZIONIST
MAINORITI	MINORITY
RETTSU	LET'S
RISAIKURINGU	RECYCLING
SUNIFA	SNIFFER
HAIRANDO	HIGHLAND
FAITIN	FIGHTING
TEREKOMU	TELECOM
BAUCHIZUMO	BAPTISM
TEREKONFARENSU	TELECONFERENCE
KOKOA	COCOA
RESUTORAN	RESTAURANT
JAMINGU	JAMMING
HASHISHU	HASHISH
WONTETTO	WANTED
DISUINFURE	DISINFLATION
KONBENSHON	CONVENTION
SUPIRICHUARU	SPIRITUAL
ENIGUMA	ENIGMA
GUREIBU	GRAVE
TAGINGU	TAGGING
BARUBU	VALVE
MEDUSA	MEDUSA
SHINBORU	SYMBOL
SHIFIRISU	SYPHILIS
NACHI	NAZI
PURANETTO	PLANET
SASUTEINABIRITI	SUSTAINABILITY
KOSHA	KOSHER
KUREJITTO	CREDIT
TORIPUTIKU	TRIPTYCH
KOSUMOPORITAN	COSMOPOLITAN
OSURO	OSLO
PUROMOUTO	PROMOTE
BOGOTA	BOGOTA
RIPURESSHON	REPRESSION
ANAUNSA	ANNOUNCER
KANJIDA	CANDIDA
RUKUSU	LUX
SUWASUCHIKA	SWASTIKA
EMARUJON	EMULSION
AGURABEITO	AGGRAVATE
KONSUTANTO	CONSTANT
SUTANTO	STUNT
WETTO	WET
TOREDDOMIRU	TREADMILL
ASUTOXURANOMIXI	ASTRONOMY
MARUUEA	MALWARE
KORAMUNISUTO	COLUMNIST
SAIDO	SIDE
SANKISUTO	SUNKIST
PANINGU	PANNING
KUROMINANSU	CHROMINANCE
DIBAIDO	DIVIDE
KURIEITO	CREATE
PARUCHIZAN	PARTISAN
ITTORIUMU	YTTRIUM
AREGURO	ALLEGRO
PUROFESHONARU	PROFESSIONAL
KAUNTI	COUNTY
MUNPUSU	MUMPS
SUPIA	SPEAR
PUROGURAMINGU	PROGRAMMING
RAME	LAME
RIZUMIKKU	RHYTHMIC
SURINAMU	SURINAM
UININGU	WINNING
ZAIROFON	XYLOPHONE
SAIENTIFIKKU	SCIENTIFIC
NERUSON	NELSON
EKUSOSHISUTO	EXORCIST
MASUTODON	MASTODON
WESUTO	WASTE
TORUKU	TORQUE
SUTORAKUCHA	STRUCTURE
ARUFARUFA	ALFALFA
SHIKKUSUTI	SIXTY
SUIBERU	SWIVEL
DIBAIDA	DIVIDER
WINDO	WIND
KARETTO	CULLET
NIKKU	NICK
FURENDORI	FRIENDLY
KASUKETTO	CASKET
SORIDDO	SOLID
PUREIBAKKU	PLAYBACK
AFURO	AFRO
NIGURO	NEGRO
PAKKIN	PACKING
HARIKEIN	HURRICANE
JIRUKON	ZIRCON
FURASSHINGU	FLASHING
ESUTERU	ESTER
MEMORABURU	MEMORABLE
INTEREKUCHUARU	INTELLECTUAL
VIKUTORIA	VICTORIA
SHIKURIKARU	CYCLICAL
INTABARU	INTERVAL
PUDINGU	PUDDING
TEREKKINGU	TREKKING
WEIVU	WAVE
TENANTO	TENANT
PUROFAIRINGU	PROFILING
EKONOMIKARU	ECONOMICAL
SOPURANO	SOPRANO
MAKISHIMU	MAXIM
MAZOHIZUMU	MASOCHISM
AUASERUBUZU	OURSELVES
AWEIKU	AWAKE
CHAIMU	CHIME
ABUDAKUSHON	ABDUCTION
SERUSHIUSU	CELSIUS
TEKISUTOBUKKU	TEXTBOOK
SEKKUSURESU	SEXLESS
NORIJJI	KNOWLEDGE
NATTSUMEGGU	NUTMEG
WERUKAMU	WELCOME
BEDOWIN	BEDOUIN
SABUTAIPU	SUBTYPE
TEROMEA	TELOMERE
ATAKKU	ATTACK
SUTEDI	STEADY
BIREJJI	VILLAGE
SUWETTO	SWEAT
JIMU	GYM
DORAMU	DRUM
EGGUKAPPU	EGGCUP
INDENTO	INDENT
MORUTO	MALT
KONCHERUTINA	CONCERTINA
SUTORESU	STRESS
RIBU	RIB
HITTINGU	HITTING
AWEI	AWAY
EYAKURACHION	EJACULATION
DAIOKISHIN	DIOXIN
PATORON	PATRON
NASHONARU	NATIONAL
GYASUKETTO	GASKET
GIYA	GEAR
AKUATEKKU	AQUATIC
RIARU	REAL
SUKURIPUTO	SCRIPT
BUROKKORI	BROCCOLI
AUCHI	OUCH
FAZU	FUZZ
GIBUSU	GYPSUM
KAMU	CAM
PUTTO	PUT
PONCHO	PONCHO
IRAN'IRAN	YLANG-YLANG
IKON	IKON
RYUKKUSAKKU	RUCKSACK
DIMENSHONARITI	DIMENSIONALITY
ROJIUMU	RHODIUM
MENZUUEA	MENSWEAR
MAGUNECHIKKU	MAGNETIC
IBU	EVE
MAPUTO	MAPUTO
KATEKIZUMU	CATECHISM
KIMAIRA	CHIMERA
DAIATONIKKU	DIATONIC
BOBUKYATTO	BOBCAT
TAIYA	TIRE
RAFUTINGU	RAFTING
OKUTAN	OCTANE
PUREJIDENTO	PRESIDENT
TORANSU	TRANS
VEROSHITI	VELOCITY
KORABOREITIBU	COLLABORATIVE
KONPOJISHON	COMPOSITION
KONFETTI	CONFETTI
HACCHI	HATCH
REGEE	REGGAE
ANIMIZUMU	ANIMISM
MITON	MITTEN
ESUPANIA	ESPANA
RIBARANSU	REBALANCE
TORAITON	TRITON
DERAWEA	DELAWARE
AMIGO	AMIGO
ANABAPUTISUTO	ANABAPTIST
HAIMEN	HYMEN
RAUNDOAPPU	ROUNDUP
AIDIARISUTO	IDEALIST
SABUJEKUTO	SUBJECT
RITAIYA	RETIRE
KANJITA	CANDIDA
SUPOTTORAITO	SPOTLIGHT
SUKAUTO	SCOUT
MONOTONASU	MONOTONOUS
DOREN	DRAIN
ORUGANUMU	ORGANUM
FUREIRU	FRAIL
ENKAREJJI	ENCOURAGE
EDINBARA	EDINBURGH
ORATORIO	ORATORIO
BUKKU	BOOK
ADOBAIZARI	ADVISORY
BURESURETTO	BRACELET
PIRANIA	PIRANHA
SATEN	SATIN
KUXARUTETTO	QUARTET
SHARUMU	CHARM
SUKIZOFURENIA	SCHIZOPHRENIA
GYAZARINGU	GATHERING
BOURU	BOWL
SUTORIKININ	STRYCHNINE
MOPPU	MOP
ANAKURONIZUMU	ANACHRONISM
RAIVU	LIVE
KANDERA	CANDELA
DEDDOROKKU	DEADLOCK
ADOVANSU	ADVANCE
ABUSUTORAKUSHON	ABSTRACTION
KESUTA	CUESTA
DIPPU	DIP
WARUKYURIE	WALKURE
KONTENA	CONTAINER
DOKYUMENTARI	DOCUMENTARY
SHINFONIA	SINFONIA
DAKURON	DACRON
SUTADI	STUDY
KACHION	CATION
PATENTO	PATENT
BITTO	BIT
EKUSUTENDA	EXTENDER
OVEISHON	OVATION
BAKKURASSHU	BACKLASH
PIKETTO	PICKET
DEMO	DEMO
ANFETAMIN	AMPHETAMINE
TEFU	TAFF
KATTOAUTO	CUTOUT
ASOSHIEISHON	ASSOCIATION
GAROPPU	GALLOP
SHEARINGU	SHARING
EKUSASAIZU	EXERCISE
SAFIKKUSU	SUFFIX
SEMANTIKKU	SEMANTIC
JINGOIZUMU	JINGOISM
MINICHUA	MINIATURE
DAIBINGU	DIVING
KUCHURIE	COUTURIER
MASSU	MASS
KUWADORANTO	QUADRANT
TOPAZU	TOPAZ
KENTAURUSU	CENTAURS
HAMU	HAM
TORIUMU	THORIUM
TORIPPINGU	TRIPPING
PUCHI	PETIT
ARUBUMIN	ALBUMIN
SESAMI	SESAME
TORANPORIN	TRAMPOLINE
SOFUTO	SOFT
KEREDO	CREDO
JENOSAIDO	GENOCIDE
DORAKKU	DRUG
BERUGU	BERG
MANGA	MANGA
TEREFON	TELEPHONE
MARUCHIPUREI	MULTIPLAYER
KURON	CLONE
FEDORA	FEDORA
HAWAI	HAWAII
ITTO	IT
YANMA	JAMMER
MISUPURINTO	MISPRINT
INTARAKUTIVU	INTERACTIVE
IDEOMU	IDIOM
ABUSENTIZUMU	ABSENTEEISM
MINERUBA	MINERVA
CHARIOTTO	CHARIOT
BEROKIRAPUTORU	VELOCIRAPTOR
FARUKON	FALCON
AGERATAMU	AGERATUM
REKUIEMU	REQUIEM
JIOMETORIKKU	GEOMETRIC
SOKETTO	SOCKET
PANIKKU	PANIC
EKUSENTORIKKU	ECCENTRIC
PIRU	PILL
CHIN	CHIN
PUROSERUPINA	PROSERPINA
ENZERU	ANGEL
ERISUROPOIECHIN	ERYTHROPOIETIN
MODANIZUMU	MODERNISM
TAIPINGU	TYPING
FEYAUEI	FAIRWAY
WIDOU	WIDOW
PANPUKIN	PUMPKIN
NAFUTARIN	NAPHTHALENE
BAIORINISUTO	VIOLINIST
CHERO	CELLO
KATSURETSU	CUTLET
TAITO	TIGHT
INBANESU	INVERNESS
DETORITASU	DETRITUS
SAMUSHINGU	SOMETHING
ASURECHIKKU	ATHLETICS
ANTACCHABURU	UNTOUCHABLE
EREVAN	YEREVAN
RAIKU	LIKE
BETONAMU	VIETNAM
ENDOPOINTO	ENDPOINT
MESHIA	MESSIAH
TAGGU	TAG
ENBAIROMENTO	ENVIRONMENT
PURAU	PLOUGH
FANTASUTIKKU	FANTASTIC
TORAIARU	TRIAL
ROMANTIKKU	ROMANTIC
GARON	GALLON
KATARUNYA	CATALONIA
FAVERA	FAVELA
HAFUNIUMU	HAFNIUM
SURIPPU	SLIP
SHINBARU	CYMBAL
WIJETTO	WIDGET
ARUMINIUMU	ALUMINUM
RAIMU	RHYME
BAIRASU	VIRUS
KARAMIN	CALAMINE
SATAN	SATAN
JAIANTO	GIANT
ENJERUFISSHU	ANGELFISH
ROMANCHITSUKU	ROMANTIC
DISURAIKU	DISLIKE
BURESUTO	BREAST
HAROGEN	HALOGEN
ONION	ONION
SUTEIN	STAIN
INISHIATIBU	INITIATIVE
KOMYUNITI	COMMUNITY
FAINANSU	FINANCE
RAISENSA	LICENSER
CHANPU	CHAMP
BANAJIUMU	VANADIUM
BAIOROJIKARU	BIOLOGICAL
RISAITARU	RECITAL
TESUTOSUTERON	TESTOSTERONE
DEXYUREISHON	DURATION
RAN'NINGU	RUNNING
ERYUSHION	ELYSIUM
PURESUTO	PRESTO
TORIBIARU	TRIVIAL
DOROA	DRAWER
INPURESSHON	IMPRESSION
POJITIBIZUMU	POSITIVISM
ARUTABISUTA	ALTAVISTA
FURASSHU	FLASH
NOIRON	NEURON
ASUTEKKU	AZTEC
RAUNCHI	LAUNCH
SUREIBU	SLAVE
PUREIGURANDO	PLAYGROUND
REO	LEO
ADAJIO	ADAGIO
PANTEON	PANTHEON
ANARU	ANAL
BIJON	VISION
MARUKA	MARKKA
SUTOREIN	STRAIN
POPURIN	POPLIN
INBORUBU	INVOLVE
KORIA	KOREA
ONRAIN	ONLINE
MOSUKU	MOSQUE
MANIA	MANIA
NAIFU	KNIFE
DAUJINGU	DOWSING
ADAPUTIBU	ADAPTIVE
RIGERU	RIGEL
JOGU	JOG
KONGA	CONGA
ANPAIYA	UMPIRE
MOUMENTAMU	MOMENTUM
VAIORIN	VIOLIN
DAUNTAUN	DOWNTOWN
KOMYUNIKE	COMMUNIQUE
AMINO	AMINO
KUREDIBIRITI	CREDIBILITY
GABAMENTO	GOVERNMENT
HAURINGU	HOWLING
JITABAGU	JITTERBUG
MOJURA	MODULAR
RAGU	RUG
FARAFERU	FALAFEL
HASHISSHU	HASHISH
DORAIPOINTO	DRYPOINT
PURACCHIKKU	PLASTIC
DERIKATESEN	DELICATESSEN
TOREDDO	TREAD
DAGUAUTO	DUGOUT
RITAIA	RETIRE
KARAMU	COLUMN
MAHOMETTO	MUHAMMAD
NEGUROIDO	NEGROID
KARINYAN	CARIGNAN
RISOGURAFI	LITHOGRAPHY
MOBIRITI	MOBILITY
KONSESSHON	CONCESSION
MANBO	MAMBO
TEREBIN	TEREBENE
MADORIGARU	MADRIGAL
BANIRIN	VANILLIN
RIARIZUMU	REALISM
RIFUTINGU	LIFTING
AKYADEMIXI	ACADEMY
ASHIDDO	ACID
KURIMUSON	CRIMSON
ROMANESUKU	ROMANESQUE
SUTEPPUSU	STEPS
WEARABURU	WEARABLE
BURASHI	BRUSH
HANTO	HUNT
MUNBAI	MUMBAI
RIPPURU	RIPPLE
HOTTO	HOT
TEKISUCHA	TEXTURE
PURISHIJON	PRECISION
BAINDINGU	BINDING
FIESUTA	FIESTA
MINIDISUKU	MINIDISC
RIGU	RIG
SUPONSA	SPONSOR
INFINITI	INFINITY
DON	DON
KABABU	KEBAB
REBERIYON	REBELLION
SUKYAN	SCAN
KONSHASU	CONSCIOUS
HYURISUTIKKUSU	HEURISTICS
MIARI	MERELY
KYASSHINGU	CASHING
APARERU	APPAREL
DOTTO	DOT
JINIA	ZINNIA
POKETTOBUKKU	POCKETBOOK
DIMINISSHU	DIMINISH
DEBAGU	DEBUG
PARAO	PALAU
INDIBIJUARIZUMU	INDIVIDUALISM
BURANCHI	BRANCH
KUROKETTO	CROQUET
RICCHIMONDO	RICHMOND
WEITINGU	WAITING
MATTO	MAT
WEAHAUSU	WAREHOUSE
SERAMIKKUSU	CERAMICS
FURASSHUGAN	FLASHGUN
MENBASHIPPU	MEMBERSHIP
FURORA	FLORA
JINBABUE	ZIMBABWE
PAROMINO	PALOMINO
REU	LEU
SHINEPUREKKUSU	CINEPLEX
POMERANIAN	POMERANIAN
DIMASHUKU	DAMASCUS
BURUJOWA	BOURGEOIS
CHUNIKKU	TUNIC
MEIPURU	MAPLE
AUEIKU	AWAKE
JINGURU	JINGLE
KAZEIN	CASEIN
HAGAN	KHAN
MAGU	MUG
ONIKISU	ONYX
KURISUTARU	CRYSTAL
SAIRIKKUSU	CYRIX
AGEINSUTO	AGAINST
SAROSU	SAROS
WIKU	WICK
AKUROBACHIKKU	ACROBATIC
SABUSUKURAIBA	SUBSCRIBER
SATIFIKETTO	CERTIFICATE
EGOTISUMU	EGOTISM
UESU	WASTE
GACCHA	GOTCHA
ROBIN	ROBIN
BURYUSSERU	BRUXELLES
SUTOPPU	STOP
APARUTOMAN	APARTMENT
CHEKKUOFU	CHECKOFF
BEGONIA	BEGONIA
BUROSSU	BROTH
PARAJIUMU	PALLADIUM
SASSAFURASU	SASSAFRAS
AKANPANIMENTO	ACCOMPANIMENT
BOUINGU	BOWING
REFUREKKUSU	REFLEX
ANTENA	ANTENNA
NIGUROIDO	NEGROID
BOIRINGU	BOILING
SATISUFAKUSHON	SATISFACTION
MAKKUSU	MAX
SUPAZUMU	SPASM
SUKEPUCHIKKU	SKEPTIC
ZATTSU	SATZ
METOROPORISU	METROPOLIS
CHIWAWA	CHIHUAHUA
ARUMU	ARUM
SHIRINDA	CYLINDER
SABUSUKURIPUSHON	SUBSCRIPTION
SARAMANDORA	SALAMANDER
REFUTI	LEFTY
BURANDI	BRANDY
PODIUMU	PODIUM
ANBUSSHU	AMBUSH
AMUSUTERUDAMU	AMSTERDAM
DAKUTO	DUCT
SAFURAJETTO	SUFFRAGETTE
SUPOIRU	SPOIL
PIGUSHI	PIXIE
SUPURINGU	SPRING
GIMUNAJIUMU	GYMNASIUM
MONORISHIKKU	MONOLITHIC
KARIBIAN	CARIBBEAN
FIRE	FILET
INSENSU	INCENSE
AIBORI	IVORY
KYARIYA	CAREER
KUXOUTO	QUOTE
RIDAIREKUTO	REDIRECT
ROIYARITI	ROYALTY
SORUBE	SORBET
MEIDEI	MAYDAY
SHIBYURA	SIBYL
BONDO	BOND
GETTO	GET
HANBURU	HUMBLE
KOMEDIAN	COMEDIAN
EKO	ECO
BASORISU	BATHOLITH
BIRUDA	BUILDER
RAIFURU	RIFLE
RANWEI	RUNWAY
KAYA	KAYA
YUNION	UNION
FATTO	FAT
AKUCHUARU	ACTUAL
MARUCHIPURU	MULTIPLE
SHIKU	SIKH
TIKKU	TICK
BOTSUWANA	BOTSWANA
SHUVARIE	CHEVALIER
SERUFI	SELFIE
WINCHI	WINCH
KAN'NINGU	CUNNING
TORANSUPURANTO	TRANSPLANT
PURINTAN	PRINTEMPS
MEKISHIKAN	MEXICAN
WEDINGU	WEDDING
MORUHINE	MORPHINE
GURAFAITO	GRAPHITE
ESUTABURISSHU	ESTABLISH
GOSHIKKU	GOTHIC
RINUKKUSU	LINUX
SHIRABURU	SYLLABLE
TOPIKKUSU	TOPICS
KONSARUTANTSU	CONSULTANTS
PARADOKUSHIKARU	PARADOXICAL
ROMANTISUMU	ROMANTICISM
BARIKEIDO	BARRICADE
ORUDO	HORDE
JUNIA	JUNIOR
NESUTINGU	NESTING
SAGA	SAGA
RODEO	RODEO
KATARONIA	CATALONIA
SORISUTO	SOLOIST
MANDORIRU	MANDRILL
ANDAKATTO	UNDERCUT
SUKAIRAITO	SKYLIGHT
DACCHIMAN	DETCHMAN
BIBA	BEAVER
AVANGYARUDO	AVANT-GARDE
