フェミニニティ	femininity	F_EH2_M_AH0_N_IH1_N_AH0_T_IY0
ディフォルト	default	D_IH0_F_AO1_L_T
エリクシア	elixir	IH0_L_IH1_K_S_ER0
アンツーカー	en|tout|cas	EH1_N|T_AW1_T|K_AE1_S
カサータ	cassata	K_AA0_S_AA1_T_AH0
イェス	yes	Y_EH1_S
ルーティング	routing	R_AW1_T_IH0_NG
インプリメント	implement	IH1_M_P_L_AH0_M_AH0_N_T
アールダム	earldom	ER1_L_D_AH0_M
マニピュレーター	manipulator	M_AH0_N_IH1_P_Y_AH0_L_EY2_T_ER0
ナビゲータ	navigator	N_AE1_V_AH0_G_EY2_T_ER0
フォン	phone	F_OW1_N
エアフィルタ	air|filter	EH1_R|F_IH1_L_T_ER0
デコンストラクション	deconstruction	D_IY0_K_AH0_N_S_T_R_AH1_K_SH_AH0_N
デグリー	degree	D_IH0_G_R_IY1
アンビバレント	ambivalent	AE0_M_B_IH1_V_AH0_L_AH0_N_T
キディー	kiddie	K_IH1_D_IY0
アイメート	eye|mate	AY1|M_EY1_T
バロメータ	barometer	B_ER0_AA1_M_IH0_T_ER0
イフェクト	effect	IH0_F_EH1_K_T
チャンピョン	champion	CH_AE1_M_P_IY0_AH0_N
チャンピオン	champion	CH_AE1_M_P_IY0_AH0_N
チャンピヨン	champion	CH_AE1_M_P_IY0_AH0_N
コアビタシオン	cohabitation	K_OW0_HH_AE2_B_AH0_T_EY1_SH_AH0_N
メジアン	median	M_IY1_D_IY0_AH0_N
メーンアンプ	main|amp	M_EY1_N|AE1_M_P
シェアードメモリー	shared|memory	SH_EH1_R_D|M_EH1_M_ER0_IY0
サマリー	summary	S_AH1_M_ER0_IY0
ドキュメンタリー	documentary	D_AA2_K_Y_UW0_M_EH1_N_T_ER0_IY0
ドキュメンタル	documentary	D_AA2_K_Y_UW0_M_EH1_N_T_ER0_IY0
シリンダー	cylinder	S_IH1_L_AH0_N_D_ER0
フェスティバル	festival	F_EH1_S_T_AH0_V_AH0_L
キャンタロープ	cantaloupe	K_AE1_N_T_AH0_L_OW2_P
カンタループ	cantaloupe	K_AE1_N_T_AH0_L_OW2_P
エジンバラ	edinburgh	EH1_D_AH0_N_B_ER0_OW0
タピスリー	tapestry	T_AE1_P_AH0_S_T_R_IY0
ダイアモンドテトラ	diamond|tetra	D_AY1_M_AH0_N_D|T_EH1_T_R_AH0
メーンテーブル	main|table	M_EY1_N|T_EY1_B_AH0_L
クレータ	crater	K_R_EY1_T_ER0
ポイントツーポイント	point|to|point	P_OY1_N_T|T_UW1|P_OY1_N_T
テコンド	taekwondo	T_AE1_K_W_AA2_N_D_OW1
ネグロ	negro	N_IY1_G_R_OW0
クライアントサーバ	client|server	K_L_AY1_AH0_N_T|S_ER1_V_ER0
ホアー	whore	HH_AO1_R
ミルクシェーク	milk|shake	M_IH1_L_K|SH_EY1_K
チラノザウルス	tyrannosaurus	T_IH0_R_AE0_N_AH0_S_AO1_R_AH0_S
チラノサウルス	tyrannosaurus	T_IH0_R_AE0_N_AH0_S_AO1_R_AH0_S
タイラノサウルス	tyrannosaurus	T_IH0_R_AE0_N_AH0_S_AO1_R_AH0_S
ティランノサウルス	tyrannosaurus	T_IH0_R_AE0_N_AH0_S_AO1_R_AH0_S
ティラノザウルス	tyrannosaurus	T_IH0_R_AE0_N_AH0_S_AO1_R_AH0_S
タイラノザウルス	tyrannosaurus	T_IH0_R_AE0_N_AH0_S_AO1_R_AH0_S
インターポル	interpol	IH1_N_T_ER0_P_OW2_L
ピヤノ	piano	P_IY0_AE1_N_OW0
ラブラドルレトリバー	labrador|retriever	L_AE1_B_R_AH0_D_AO2_R|R_IY0_T_R_IY1_V_ER0
ラブラドールレトリーバー	labrador|retriever	L_AE1_B_R_AH0_D_AO2_R|R_IY0_T_R_IY1_V_ER0
ラブラドールリトリーバー	labrador|retriever	L_AE1_B_R_AH0_D_AO2_R|R_IY0_T_R_IY1_V_ER0
ラブラドールリトリバー	labrador|retriever	L_AE1_B_R_AH0_D_AO2_R|R_IY0_T_R_IY1_V_ER0
ヴィジラント	vigilant	V_IH1_JH_AH0_L_AH0_N_T
オーデコロン	eau|de|cologne	OW1|D_IY1|K_AH0_L_OW1_N
アドミタンス	admittance	AH0_D_M_IH1_T_AH0_N_S
アイタム	item	AY1_T_AH0_M
アディスアベバ	addis|ababa	AA1_D_IH0_S|AH0_B_AA1_B_AH0
ホリデイ	holiday	HH_AA1_L_AH0_D_EY2
ホリディ	holiday	HH_AA1_L_AH0_D_EY2
イネーブラー	enabler	EH0_N_EY1_B_AH0_L_ER0
イネーブラ	enabler	EH0_N_EY1_B_AH0_L_ER0
ファトワ	fatwa	F_AA1_T_W_AA0
ファトワー	fatwa	F_AA1_T_W_AA0
ショルダーバッグ	shoulder|bag	SH_OW1_L_D_ER0|B_AE1_G
バッティングセンター	batting|center	B_AE1_T_IH0_NG|S_EH1_N_T_ER0
ボディーシェイミング	body|shaming	B_AA1_D_IY0|SH_EY1_M_IH0_NG
パーソナリティ	personality	P_ER2_S_AH0_N_AE1_L_IH0_T_IY0
アウトゥルック	outlook	AW1_T_L_UH2_K
ベルトコンベヤー	belt|conveyor	B_EH1_L_T|K_AH0_N_V_EY1_ER0
ベルトコンベアー	belt|conveyor	B_EH1_L_T|K_AH0_N_V_EY1_ER0
ベルトコンベヤ	belt|conveyor	B_EH1_L_T|K_AH0_N_V_EY1_ER0
リアリティ	reality	R_IY2_AE1_L_AH0_T_IY2
ギヤトレイン	gear|train	G_IH1_R|T_R_EY1_N
ギヤトレーン	gear|train	G_IH1_R|T_R_EY1_N
ギアトレイン	gear|train	G_IH1_R|T_R_EY1_N
アルカイックスマイル	archaic|smile	AA0_R_K_EY1_IH0_K|S_M_AY1_L
チャージャ	charger	CH_AA1_R_JH_ER0
マリーンパーク	marine|park	M_ER0_IY1_N|P_AA1_R_K
ベクトルフォント	vector|font	V_EH1_K_T_ER0|F_AA1_N_T
ベクタフォント	vector|font	V_EH1_K_T_ER0|F_AA1_N_T
コールドウオー	cold|war	K_OW1_L_D|W_AO1_R
プロフェッショナル	professional	P_R_AH0_F_EH1_SH_AH0_N_AH0_L
アウトドアー	outdoor	AW1_T_D_AO2_R
クラスター	cluster	K_L_AH1_S_T_ER0
ディステンパー	distemper	D_IH0_S_T_EH1_M_P_ER0
マクシム	maxim	M_AE1_K_S_AH0_M
ワーレット	wallet	W_AO1_L_AH0_T
キャパシティビルディング	capacity|building	K_AH0_P_AE1_S_AH0_T_IY0|B_IH1_L_D_IH0_NG
バーミューダショーツ	bermuda|shorts	B_ER0_M_Y_UW1_D_AH0|SH_AO1_R_T_S
バミューダショーツ	bermuda|shorts	B_ER0_M_Y_UW1_D_AH0|SH_AO1_R_T_S
オーガ	ogre	OW1_G_ER0
チッカー	ticker	T_IH1_K_ER0
クリムゾン	crimson	K_R_IH1_M_Z_AH0_N
システムアドミニストレータ	system|administrator	S_IH1_S_T_AH0_M|AH0_D_M_IH1_N_IH0_S_T_R_EY2_T_ER0
ツール	tool	T_UW1_L
プレファブ	prefab	P_R_IY1_F_AE1_B
コモディティ	commodity	K_AH0_M_AA1_D_AH0_T_IY0
ジャケツ	jacket	JH_AE1_K_AH0_T
グァテマラ	guatemala	G_W_AA2_T_AH0_M_AA1_L_AH0
ダンディ	dandy	D_AE1_N_D_IY0
ウィンウィン	win|win	W_IH1_N|W_IH1_N
バリスタ	barrister	B_AE1_R_IH0_S_T_ER0
ウィニング	winning	W_IH1_N_IH0_NG
ホンジュラス	honduras	HH_AA0_N_D_UH1_R_AH0_S
スレーヴ	slave	S_L_EY1_V
スレイヴ	slave	S_L_EY1_V
スレーブ	slave	S_L_EY1_V
クリエート	create	K_R_IY0_EY1_T
オンリ	only	OW1_N_L_IY0
ダヴィンチ	da|vinci	D_AA1|V_IH1_N_S_IY0
アジテイト	agitate	AE1_JH_AH0_T_EY2_T
ボディボード	body|board	B_AA1_D_IY0|B_AO1_R_D
マルッカ	markka	M_AA1_R_K_AH0
エレベーター	elevator	EH1_L_AH0_V_EY2_T_ER0
アミーゴ	amigo	AH0_M_IY1_G_OW2
ヴィレッジ	village	V_IH1_L_AH0_JH
アカムプリッシュ	accomplish	AH0_K_AA1_M_P_L_IH0_SH
アカンプリッシュ	accomplish	AH0_K_AA1_M_P_L_IH0_SH
アコンプリッシュ	accomplish	AH0_K_AA1_M_P_L_IH0_SH
コージェネレーションシステム	cogeneration|system	K_OW1_JH_EH1_N_ER0_EY1_SH_AH0_N|S_IH1_S_T_AH0_M
マチネー	matinee	M_AE1_T_IH0_N_EY2
エイリアン	alien	EY1_L_IY0_AH0_N
デコーダー	decoder	D_IH0_K_OW1_D_ER0
ディコーダー	decoder	D_IH0_K_OW1_D_ER0
スパイウェア	spyware	S_P_AY1_W_EH2_R
クローゼット	closet	K_L_AA1_Z_AH0_T
ウェルネス	wellness	W_EH1_L_N_AH0_S
マスカレード	masquerade	M_AE2_S_K_ER0_EY1_D
クーデタ	coup|d'etat	K_UW1|D_EH2_T_AA1
メンブレイン	membrane	M_EH1_M_B_R_EY2_N
メンブレン	membrane	M_EH1_M_B_R_EY2_N
ピクルス	pickles	P_IH1_K_AH0_L_Z
インタビュイー	interviewee	IH2_N_T_ER0_V_Y_UW0_IY1
パン	pan	P_AE1_N
アゲーン	again	AH0_G_EH1_N
アゲン	again	AH0_G_EH1_N
メイキング	making	M_EY1_K_IH0_NG
キャメラ	camera	K_AE1_M_ER0_AH0
コンクリートミキサー	concrete|mixer	K_AH0_N_K_R_IY1_T|M_IH1_K_S_ER0
エタニティー	eternity	IH0_T_ER1_N_AH0_T_IY0
エタニティ	eternity	IH0_T_ER1_N_AH0_T_IY0
ピルーエット	pirouette	P_IH2_R_UW0_EH1
キブアンドテーク	give|and|take	G_IH1_V|AH0_N_D|T_EY1_K
ギブアンドテーク	give|and|take	G_IH1_V|AH0_N_D|T_EY1_K
ダウン	down	D_AW1_N
ギャバジン	gabardine	G_AE1_B_ER0_D_IY2_N
リラクセーション	relaxation	R_IY2_L_AE0_K_S_EY1_SH_AH0_N
アウトゥレット	outlet	AW1_T_L_EH2_T
トラジディー	tragedy	T_R_AE1_JH_AH0_D_IY0
プラグマティズム	pragmatism	P_R_AE1_G_M_AH0_T_IH2_Z_AH0_M
メールオーダー	mail|order	M_EY1_L|AO1_R_D_ER0
コラム	column	K_AA1_L_AH0_M
パトロウル	patrol	P_AH0_T_R_OW1_L
ライヴショー	live|show	L_AY1_V|SH_OW1
ルンゲ	lunge	L_AH1_N_JH
ヴェガ	vega	V_EY1_G_AH0
モガディシオ	mogadishu	M_OW2_G_AH0_D_IY1_SH_UW2
モガディシュ	mogadishu	M_OW2_G_AH0_D_IY1_SH_UW2
メリー	merry	M_EH1_R_IY0
アクイジション	acquisition	AE2_K_W_AH0_Z_IH1_SH_AH0_N
マーケッティング	marketing	M_AA1_R_K_AH0_T_IH0_NG
ボリシェビキ	bolshevik	B_OW1_L_SH_AH0_V_IH2_K
ボルシェビキ	bolshevik	B_OW1_L_SH_AH0_V_IH2_K
ボルシェヴィキ	bolshevik	B_OW1_L_SH_AH0_V_IH2_K
ビオル	viole	V_AY2_OW1_L
ビオール	viole	V_AY2_OW1_L
ヴィオール	viole	V_AY2_OW1_L
エリジウム	elysium	IH0_L_IH1_Z_IY0_AH0_M
エリシウム	elysium	IH0_L_IH1_Z_IY0_AH0_M
エンドユーザー	end|user	EH1_N_D|Y_UW1_Z_ER0
シーク	sikh	S_IY1_K
ウエットマーケット	wet|market	W_EH1_T|M_AA1_R_K_AH0_T
ブッダボール	buddha|bowl	B_UW1_D_AH0|B_OW1_L
リュクサンブール	luxembourg	L_AH1_K_S_AH0_M_B_AO2_R_G
マキシマム	maximum	M_AE1_K_S_AH0_M_AH0_M
メインスタンド	main|stand	M_EY1_N|S_T_AE1_N_D
マッグ	mug	M_AH1_G
ミニコンピュータ	mini|computer	M_IH1_N_IY0|K_AH0_M_P_Y_UW1_T_ER0
ラーンチ	launch	L_AO1_N_CH
ローンチ	launch	L_AO1_N_CH
ランチ	launch	L_AO1_N_CH
ロンチ	launch	L_AO1_N_CH
マッサージチェア	massage|chair	M_AH0_S_AA1_ZH|CH_EH1_R
フリーウェー	freeway	F_R_IY1_W_EY2
フリーウェイ	freeway	F_R_IY1_W_EY2
オーヴン	oven	AH1_V_AH0_N
ヴォールト	vault	V_AO1_L_T
コメンテイター	commentator	K_AA1_M_AH0_N_T_EY2_T_ER0
アメニティー	amenity	AH0_M_EH1_N_AH0_T_IY0
バックグランド	background	B_AE1_K_G_R_AW2_N_D
キャスタ	caster	K_AE1_S_T_ER0
キャスター	caster	K_AE1_S_T_ER0
サンノゼ	san|jose	S_AE1_N|HH_OW2_Z_EY1
メイフラワー	mayflower	M_EY1_F_L_AW2_ER0
クラスメート	classmate	K_L_AE1_S_M_EY2_T
アキュラスィ	accuracy	AE1_K_Y_ER0_AH0_S_IY0
ダイヤル	dial	D_AY1_AH0_L
シリアルプリンタ	serial|printer	S_IH1_R_IY2_AH0_L|P_R_IH1_N_T_ER0
ブートセクター	boot|sector	B_UW1_T|S_EH1_K_T_ER0
リヤール	rial	R_AY1_AH0_L
リアール	rial	R_AY1_AH0_L
ヨルダン	jordan	JH_AO1_R_D_AH0_N
パレットサージャン	palette|surgeon	P_AE1_L_AH0_T|S_ER1_JH_AH0_N
モーゲッジファンド	mortgage|fund	M_AO1_R_G_AH0_JH|F_AH1_N_D
ディプスイッチ	dip|switch	D_IH1_P|S_W_IH1_CH
サナア	sanaa	S_AH0_N_AA1
マシーナリー	machinery	M_AH0_SH_IY1_N_ER0_IY0
クレイジー	crazy	K_R_EY1_Z_IY0
フォルムアルデヒド	formaldehyde	F_AO0_R_M_AE1_L_D_AH0_HH_AY2_D
チルリング	chilling	CH_IH1_L_IH0_NG
ブライヤー	brier	B_R_AY1_ER0
シアーバター	shea|butter	SH_EY1|B_AH1_T_ER0
アッラーフアクバル	allah|akbar	AA1_L_AH0|AE1_K_B_ER0
アッラーアクバル	allah|akbar	AA1_L_AH0|AE1_K_B_ER0
アウエイクン	awaken	AH0_W_EY1_K_AH0_N
パパ	papa	P_AA1_P_AH2
パッパ	papa	P_AA1_P_AH2
ボーガン	bow|gun	B_OW1|G_AH1_N
コンサルテーション	consultation	K_AA2_N_S_AH0_L_T_EY1_SH_AH0_N
スリッポン	slip|on	S_L_IH1_P|AA1_N
シーケンス	sequence	S_IY1_K_W_AH0_N_S
シークェンス	sequence	S_IY1_K_W_AH0_N_S
セクエンツィア	sequence	S_IY1_K_W_AH0_N_S
ハイドラ	hydra	HH_AY1_D_R_AH0
ヒドラ	hydra	HH_AY1_D_R_AH0
アルビーノ	albino	AE0_L_B_AY1_N_OW2
ラジエーション	radiation	R_EY2_D_IY0_EY1_SH_AH0_N
コンパイラー	compiler	K_AH0_M_P_AY1_L_ER0
バルクキャリア	bulk|carrier	B_AH1_L_K|K_AE1_R_IY0_ER0
エムブレム	emblem	EH1_M_B_L_AH0_M
エロチシズム	eroticism	ER0_AA1_T_IH0_S_IH2_Z_AH0_M
エスカレーター	escalator	EH1_S_K_AH0_L_EY2_T_ER0
ウォータークロゼット	water|closet	W_AO1_T_ER0|K_L_AA1_Z_AH0_T
デディケート	dedicate	D_EH1_D_AH0_K_EY2_T
ブレーカー	breaker	B_R_EY1_K_ER0
ファイヤーウオール	firewall	F_AY1_R_W_AA0_L
ファイアーウォール	firewall	F_AY1_R_W_AA0_L
ファイヤーウォール	firewall	F_AY1_R_W_AA0_L
ファイアウオール	firewall	F_AY1_R_W_AA0_L
ファイヤウォール	firewall	F_AY1_R_W_AA0_L
ファイアーウオール	firewall	F_AY1_R_W_AA0_L
ファイヤウオール	firewall	F_AY1_R_W_AA0_L
メーラ	mailer	M_EY1_L_ER0
メイラ	mailer	M_EY1_L_ER0
ファッキング	fucking	F_AH1_K_IH0_NG
コストパフォーマンス	cost|performance	K_AA1_S_T|P_ER0_F_AO1_R_M_AH0_N_S
モービルホーム	mobile|home	M_OW1_B_AH0_L|HH_OW1_M
モバイルホーム	mobile|home	M_OW1_B_AH0_L|HH_OW1_M
ポンピング	pumping	P_AH1_M_P_IH0_NG
ピッチングマシン	pitching|machine	P_IH1_CH_IH0_NG|M_AH0_SH_IY1_N
フロッピーディスク	floppy|disk	F_L_AA1_P_IY0|D_IH1_S_K
ルズムボックス	rhythm|box	R_IH1_DH_AH0_M|B_AA1_K_S
ベジマイト	vegemite	V_EH1_JH_AH0_M_AY2_T
オーナー	owner	OW1_N_ER0
ローヤルゼリー	royal|jelly	R_OY1_AH0_L|JH_EH1_L_IY0
リン	ring	R_IH1_NG
アイヴォリー	ivory	AY1_V_ER0_IY0
アイボリー	ivory	AY1_V_ER0_IY0
ニルバーナ	nirvana	N_IH0_R_V_AA1_N_AH0
ファミリア	familiar	F_AH0_M_IH1_L_Y_ER0
グレーイッシュ	grayish	G_R_EY1_IH0_SH
バスチェア	bath|chair	B_AE1_TH|CH_EH1_R
アンチーク	antique	AE0_N_T_IY1_K
アンチック	antique	AE0_N_T_IY1_K
アンティック	antique	AE0_N_T_IY1_K
ブラッスリー	brasserie	B_R_AE1_S_AH0_R_IY2
テキスタイル	textile	T_EH1_K_S_T_AY2_L
アドバイザリー	advisory	AE0_D_V_AY1_Z_ER0_IY0
ワイパー	wiper	W_AY1_P_ER0
ディグニティ	dignity	D_IH1_G_N_AH0_T_IY0
コンピュータネットワーク	computer|network	K_AH0_M_P_Y_UW1_T_ER0|N_EH1_T_W_ER2_K
ノーメイク	no|make	N_OW1|M_EY1_K
フェニュグリーク	fenugreek	F_EH1_N_UW0_G_R_IY2_K
アンチエージング	anti|aging	AE1_N_T_IY2|EY1_JH_IH0_NG
ヴィジュアライゼイション	visualization	V_IH2_ZH_W_AH0_L_AH0_Z_EY1_SH_AH0_N
ビジュアリゼーション	visualization	V_IH2_ZH_W_AH0_L_AH0_Z_EY1_SH_AH0_N
ビジュアライゼーション	visualization	V_IH2_ZH_W_AH0_L_AH0_Z_EY1_SH_AH0_N
ビジュアライゼイション	visualization	V_IH2_ZH_W_AH0_L_AH0_Z_EY1_SH_AH0_N
スウェットパンツ	sweatpants	S_W_EH1_T_P_AE2_N_T_S
ハモニカ	harmonica	HH_AA0_R_M_AA1_N_IH0_K_AH0
プリフィクス	prefix	P_R_IY1_F_IH0_K_S
プレフィックス	prefix	P_R_IY1_F_IH0_K_S
サブパタン	sub|pattern	S_AH1_B|P_AE1_T_ER0_N
レジストリ	registry	R_EH1_JH_IH0_S_T_R_IY0
ハンドシェイク	handshake	HH_AE1_N_D_SH_EY2_K
トゥシューズ	toe|shoes	T_OW1|SH_UW1_Z
スピーディ	speedy	S_P_IY1_D_IY2
メーンストリート	main|street	M_EY1_N|S_T_R_IY1_T
アーキテクチャラル	architectural	AA2_R_K_AH0_T_EH1_K_CH_ER0_AH0_L
アーキテクチュラル	architectural	AA2_R_K_AH0_T_EH1_K_CH_ER0_AH0_L
ナップサック	knapsack	N_AE1_P_S_AE2_K
サンマー	summer	S_AH1_M_ER0
トイレトレーニング	toilet|training	T_OY1_L_AH0_T|T_R_EY1_N_IH0_NG
モニタ	monitor	M_AA1_N_AH0_T_ER0
アンカ	anchor	AE1_NG_K_ER0
プシケ	psyche	S_AY1_K_IY0
プロログ	prologue	P_R_OW1_L_AA0_G
アイドゥリ	idly	AY1_D_L_IY0
インダストリー	industry	IH1_N_D_AH0_S_T_R_IY0
ボリューム	volume	V_AA1_L_Y_UW0_M
ボディーチェック	body|check	B_AA1_D_IY0|CH_EH1_K
トレイルランニング	trail|running	T_R_EY1_L|R_AH1_N_IH0_NG
ワカモーレ	guacamole	G_W_AA2_K_AH0_M_OW1_L_IY0
グワカモレ	guacamole	G_W_AA2_K_AH0_M_OW1_L_IY0
グワカモーレ	guacamole	G_W_AA2_K_AH0_M_OW1_L_IY0
ダイアモンドダスト	diamond|dust	D_AY1_M_AH0_N_D|D_AH1_S_T
ウォール	wall	W_AO1_L
コンタック	contact	K_AA1_N_T_AE2_K_T
デイリー	daily	D_EY1_L_IY0
グー	good	G_UH1_D
グレイト	great	G_R_EY1_T
アセチリーン	acetylene	AH0_S_EH1_T_AH0_L_IY2_N
エッグノグ	eggnog	EH1_G_N_AO2_G
ガソール	gasohol	G_AE1_S_AH0_HH_AO2_L
グランドホステス	ground|hostess	G_R_AW1_N_D|HH_OW1_S_T_AH0_S
ラッキー	lucky	L_AH1_K_IY0
リバーブ	reverb	R_IY0_V_ER1_B
インデックスレジスタ	index|register	IH1_N_D_EH0_K_S|R_EH1_JH_IH0_S_T_ER0
クロース	cloth	K_L_AO1_TH
アービトラリ	arbitrary	AA1_R_B_AH0_T_R_EH2_R_IY0
コミュニケー	communique	K_AH0_M_Y_UW1_N_AH0_K_EY2
ウィンドウズ	windows	W_IH1_N_D_OW0_Z
ウインドウズ	windows	W_IH1_N_D_OW0_Z
ファストイーサネット	fast|ethernet	F_AE1_S_T|IY1_TH_ER0_N_EH2_T
カージナル	cardinal	K_AA1_R_D_IH0_N_AH0_L
ヴァルキリー	valkyrie	V_AE2_L_K_IY1_R_IY2_AH0
コマ	coma	K_OW1_M_AH0
スコアラー	scorer	S_K_AO1_R_ER0
パーティション	partition	P_AA0_R_T_IH1_SH_AH0_N
レディーズファースト	ladies|first	L_EY1_D_IY0_Z|F_ER1_S_T
レディファースト	ladies|first	L_EY1_D_IY0_Z|F_ER1_S_T
モービルコンピューティング	mobile|computing	M_OW1_B_AH0_L|K_AH0_M_P_Y_UW1_T_IH0_NG
ヒューマンインタフェース	human|interface	HH_Y_UW1_M_AH0_N|IH1_N_T_ER0_F_EY2_S
ウエートトレーニング	weight|training	W_EY1_T|T_R_EY1_N_IH0_NG
ジャージー	jersey	JH_ER1_Z_IY0
アウラ	aura	AO1_R_AH0
メイト	mate	M_EY1_T
セエター	sweater	S_W_EH1_T_ER0
スエーター	sweater	S_W_EH1_T_ER0
アーチステック	artistic	AA0_R_T_IH1_S_T_IH0_K
イエローオーカー	yellow|ochre	Y_EH1_L_OW0|OW1_K_ER0
イエローオークル	yellow|ochre	Y_EH1_L_OW0|OW1_K_ER0
メディシンボール	medicine|ball	M_EH1_D_AH0_S_AH0_N|B_AO1_L
アドレッシング	addressing	AE0_D_R_EH1_S_IH0_NG
ドゥイットユアセルフ	do|it|yourself	D_UW1|IH1_T|Y_ER0_S_EH1_L_F
アグリベイト	aggravate	AE1_G_R_AH0_V_EY2_T
シェーマ	schema	S_K_IY1_M_AH0
レゾンデートル	raison|d'etre	R_EY1_S_AA0_N|D_EH1_T_R_IY0
ハーレクィン	harlequin	HH_AA1_R_L_AH0_K_W_AH0_N
ハーレクイン	harlequin	HH_AA1_R_L_AH0_K_W_AH0_N
プロシージャ	procedure	P_R_AH0_S_IY1_JH_ER0
プロシジャ	procedure	P_R_AH0_S_IY1_JH_ER0
ミクスチャー	mixture	M_IH1_K_S_CH_ER0
ウォーターフロント	waterfront	W_AO1_T_ER0_F_R_AH2_N_T
スクリュー	screw	S_K_R_UW1
ピーナツ	peanut	P_IY1_N_AH0_T
カメラルーシダ	camera|lucida	K_AE1_M_ER0_AH0|L_UW0_CH_IY1_D_AH0
ミックス	mix	M_IH1_K_S
レギュラシオン	regulation	R_EH2_G_Y_AH0_L_EY1_SH_AH0_N
ヴァージョンアップ	version|up	V_ER1_ZH_AH0_N|AH0_P
ファイティング	fighting	F_AY1_T_IH0_NG
ファイティーン	fighting	F_AY1_T_IH0_NG
リグヴェーダ	rig|veda	R_IH1_G|V_EY1_D_AH0
マスター	master	M_AE1_S_T_ER0
ロイヤリティフリー	royalty|free	R_OY1_AH0_L_T_IY0|F_R_IY1
